  7.34153|ISTEP  6. 7 - host_discover_targets
 10.81495|IPMI|I> Found fault sensor name 0xC707 and ID 0x8C for HUID 0x20000
 10.81497|IPMI|rp: W>Got message (0x10:0x30): l_is_pnor: 0
 10.81497|IPMI|rp: queuing async 10:30
 10.81499|IPMI|I> Found fault sensor name 0xC7D4 and ID 0x8D for HUID 0x20000
 10.81500|IPMI|rp: W>Got message (0x10:0x30): l_is_pnor: 0
 10.81501|IPMI|rp: queuing async 10:30
 10.81503|IPMI|I> Found fault sensor name 0xC7D5 and ID 0x8E for HUID 0x20000
 10.81504|IPMI|rp: W>Got message (0x10:0x30): l_is_pnor: 0
 10.81505|IPMI|rp: queuing async 10:30
 10.81507|IPMI|I> Found fault sensor name 0xC7D6 and ID 0x8F for HUID 0x20000
 10.81507|IPMI|rp: W>Got message (0x10:0x30): l_is_pnor: 0
 10.81508|IPMI|rp: queuing async 10:30
 10.81510|IPMI|I> Found fault sensor name 0xC7D7 and ID 0x93 for HUID 0x20000
 10.81510|IPMI|rp: W>Got message (0x10:0x30): l_is_pnor: 0
 10.81511|IPMI|rp: queuing async 10:30
 10.81514|IPMI|rp: W>Got message (0x10:0x30): l_is_pnor: 0
 10.81528|SBEIO|psudd: Sending Req = 000000000006D702 0000000000000080 00000000F857F980 0000000000000000 to 00050000
 10.82322|INTR|IntrRp::msgHandler() - LSI Interrupt Detected
 10.82324|INTR|IntrRp::msgHandler() lsiIntStatus 0x0004000000000000
 10.82327|INTR|IntrRp::msgHandler() External Interrupt found for pir: 0x0,interrupt type: 13
 10.82353|SBEIO|psudd: SbePsu::msgHandler got MSG_INTR message
 10.82370|INTR|IntrRp::completeInterruptProcessing() Removing pending interrupt for pir: 0x0,interrupt type: 13
 10.82729|INTR|IntrRp::msgHandler() - LSI Interrupt Detected
 10.82730|INTR|IntrRp::msgHandler() lsiIntStatus 0x0004000000000000
 10.82733|INTR|IntrRp::msgHandler() External Interrupt found for pir: 0x0,interrupt type: 13
 10.82773|SBEIO|psudd: SbePsu::msgHandler got MSG_INTR message
 10.82793|INTR|IntrRp::completeInterruptProcessing() Removing pending interrupt for pir: 0x0,interrupt type: 13
 10.84827|SBEIO|getPsuSbeCapabilities:Call to performPsuChipOp returned an unexpected size: capabilities size returned:92, expected capabilities size:108, 
 10.84829|SBEIO|applySbeCapabilities: Retrieved SBE Version: 0x10001
 10.84831|SBEIO|applySbeCapabilities: Retrieved SBE Commit ID: 0x6A87332A
 10.84833|SBEIO|applySbeCapabilities: Retrieved SBE Release Tag: f11ead9c425241931
 10.84834|SBEIO|<<getPsuSbeCapabilities
 10.84835|ISTEPS_TRACE|host_discover_targets exit
 10.99246|ERRL|I>Got an error log Msg - Type: 0x00000039
 10.99247|ERRL|I>Flush message received
 10.99249|INITSVC|<<doIstep: step 6, substep 7
 10.99252|INITSVC|>>doIstep: step 6, substep 8, task host_update_master_tpm
