396.44350|ISTEP  7. 4 - mss_eff_config
398.14902|FAPI|p9_mss_eff_grouping.C: grouping_2groupsOf2_cross_MCS: Attempting to group 2 groups of 2 on cross-MCS
398.14904|FAPI|p9_mss_eff_grouping.C: Attempting to group the remaining ports as group of 2
398.14908|FAPI|p9_mss_eff_grouping.C: grouping_group1PortsPerGroup: Attempting to group 1 MC port
398.14911|FAPI|p9_mss_eff_grouping.C: grouping_group1PortsPerGroup: Successfully grouped 1 MC port: 1
398.14947|FAPI|p9_mss_eff_grouping.C: grouping_sortGroups: Sorting Groups
398.14949|FAPI|p9_mss_eff_grouping.C: Total non-mirrored size 8 GB
398.15104|FAPI|p9_mss_eff_grouping.C: setupMirrorGroup: No mirror group - Num MI chiplets 0, ATTR_MRW_HW_MIRRORING_ENABLE = 0
398.15224|FAPI|p9_mss_eff_grouping.C: Mapping groups to regions (mirroring=disabled)
398.15343|FAPI|p9_mss_eff_grouping.C: grouping_setATTR_MSS_MEM_MC_IN_GROUP: 
398.15345|FAPI|p9_mss_eff_grouping.C:   ATTR_MSS_MEM_MC_IN_GROUP[0]: 0x40
398.15347|FAPI|p9_mss_eff_grouping.C:   ATTR_MSS_MEM_MC_IN_GROUP[1]: 0x00
398.15350|FAPI|p9_mss_eff_grouping.C:   ATTR_MSS_MEM_MC_IN_GROUP[2]: 0x00
398.15351|FAPI|p9_mss_eff_grouping.C:   ATTR_MSS_MEM_MC_IN_GROUP[3]: 0x00
398.15353|FAPI|p9_mss_eff_grouping.C:   ATTR_MSS_MEM_MC_IN_GROUP[4]: 0x00
398.15355|FAPI|p9_mss_eff_grouping.C:   ATTR_MSS_MEM_MC_IN_GROUP[5]: 0x00
398.15357|FAPI|p9_mss_eff_grouping.C:   ATTR_MSS_MEM_MC_IN_GROUP[6]: 0x00
398.15358|FAPI|p9_mss_eff_grouping.C:   ATTR_MSS_MEM_MC_IN_GROUP[7]: 0x00
398.15360|FAPI|p9_mss_eff_grouping.C: Total number of Memory groups: 1
398.15361|FAPI|p9_mss_eff_grouping.C: NON-MIRROR - Group 0: 
398.15362|FAPI|p9_mss_eff_grouping.C:     MC port size 8 GB
398.15364|FAPI|p9_mss_eff_grouping.C:     Num of ports 1
398.15365|FAPI|p9_mss_eff_grouping.C:     Group size  8 GB
398.15366|FAPI|p9_mss_eff_grouping.C:     Base addr 0000000000000000
398.15367|FAPI|p9_mss_eff_grouping.C:     ALT-BAR(0) valid 0 
398.15369|FAPI|p9_mss_eff_grouping.C:     ALT-BAR(0) size 0 
398.15370|FAPI|p9_mss_eff_grouping.C:     ALT-BAR(0) base addr 0
398.15371|FAPI|p9_mss_eff_grouping.C:     ALT-BAR(1) valid 0 
398.15372|FAPI|p9_mss_eff_grouping.C:     ALT-BAR(1) size 0 
398.15374|FAPI|p9_mss_eff_grouping.C:     ALT-BAR(1) base addr 0
398.15375|FAPI|p9_mss_eff_grouping.C:     Contains MC 1
398.15495|FAPI|p9_mss_eff_grouping.C: setSMFBaseSizeData: No SMF memory requested.
398.15496|FAPI|p9_mss_eff_grouping.C: Selective Mode 0
398.15500|FAPI|p9_mss_eff_grouping.C: l_nhtmSize 0000000000000000 bytes (0 GB), l_chtmSize 0000000000000000 bytes (0 GB) 
398.15502|FAPI|p9_mss_eff_grouping.C: OccSize 0000000000000000 bytes (0 GB)
398.15504|FAPI|p9_mss_eff_grouping.C: set_HTM_OCC_base_addr: No HTM/OCC memory requested.
398.15508|FAPI|p9_mss_eff_grouping.C: ATTR_PROC_MEM_BASES    [0]: 0x0000000000000000 (0 GB)
398.15511|FAPI|p9_mss_eff_grouping.C: ATTR_PROC_MEM_BASES_ACK[0]: 0x0000000000000000 (0 GB)
398.15514|FAPI|p9_mss_eff_grouping.C: ATTR_PROC_MEM_SIZES    [0]: 0x0000000200000000 (8 GB)
398.15517|FAPI|p9_mss_eff_grouping.C: ATTR_PROC_MEM_SIZES_ACK[0]: 0x0000000200000000 (8 GB)
398.15520|FAPI|p9_mss_eff_grouping.C: ATTR_PROC_MEM_BASES    [1]: 0x0000000000000000 (0 GB)
398.15523|FAPI|p9_mss_eff_grouping.C: ATTR_PROC_MEM_BASES_ACK[1]: 0x0000000000000000 (0 GB)
398.15526|FAPI|p9_mss_eff_grouping.C: ATTR_PROC_MEM_SIZES    [1]: 0x0000000000000000 (0 GB)
398.15530|FAPI|p9_mss_eff_grouping.C: ATTR_PROC_MEM_SIZES_ACK[1]: 0x0000000000000000 (0 GB)
398.15533|FAPI|p9_mss_eff_grouping.C: ATTR_PROC_MEM_BASES    [2]: 0x0000000000000000 (0 GB)
398.15536|FAPI|p9_mss_eff_grouping.C: ATTR_PROC_MEM_BASES_ACK[2]: 0x0000000000000000 (0 GB)
398.15539|FAPI|p9_mss_eff_grouping.C: ATTR_PROC_MEM_SIZES    [2]: 0x0000000000000000 (0 GB)
398.15542|FAPI|p9_mss_eff_grouping.C: ATTR_PROC_MEM_SIZES_ACK[2]: 0x0000000000000000 (0 GB)
398.15544|FAPI|p9_mss_eff_grouping.C: ATTR_PROC_MEM_BASES    [3]: 0x0000000000000000 (0 GB)
398.15547|FAPI|p9_mss_eff_grouping.C: ATTR_PROC_MEM_BASES_ACK[3]: 0x0000000000000000 (0 GB)
398.15550|FAPI|p9_mss_eff_grouping.C: ATTR_PROC_MEM_SIZES    [3]: 0x0000000000000000 (0 GB)
398.15553|FAPI|p9_mss_eff_grouping.C: ATTR_PROC_MEM_SIZES_ACK[3]: 0x0000000000000000 (0 GB)
398.15555|FAPI|p9_mss_eff_grouping.C: ATTR_PROC_MEM_BASES    [4]: 0x0000000000000000 (0 GB)
398.15558|FAPI|p9_mss_eff_grouping.C: ATTR_PROC_MEM_BASES_ACK[4]: 0x0000000000000000 (0 GB)
398.15561|FAPI|p9_mss_eff_grouping.C: ATTR_PROC_MEM_SIZES    [4]: 0x0000000000000000 (0 GB)
398.15563|FAPI|p9_mss_eff_grouping.C: ATTR_PROC_MEM_SIZES_ACK[4]: 0x0000000000000000 (0 GB)
398.15566|FAPI|p9_mss_eff_grouping.C: ATTR_PROC_MEM_BASES    [5]: 0x0000000000000000 (0 GB)
398.15569|FAPI|p9_mss_eff_grouping.C: ATTR_PROC_MEM_BASES_ACK[5]: 0x0000000000000000 (0 GB)
398.15571|FAPI|p9_mss_eff_grouping.C: ATTR_PROC_MEM_SIZES    [5]: 0x0000000000000000 (0 GB)
398.15574|FAPI|p9_mss_eff_grouping.C: ATTR_PROC_MEM_SIZES_ACK[5]: 0x0000000000000000 (0 GB)
398.15577|FAPI|p9_mss_eff_grouping.C: ATTR_PROC_MEM_BASES    [6]: 0x0000000000000000 (0 GB)
398.15579|FAPI|p9_mss_eff_grouping.C: ATTR_PROC_MEM_BASES_ACK[6]: 0x0000000000000000 (0 GB)
398.15582|FAPI|p9_mss_eff_grouping.C: ATTR_PROC_MEM_SIZES    [6]: 0x0000000000000000 (0 GB)
398.15584|FAPI|p9_mss_eff_grouping.C: ATTR_PROC_MEM_SIZES_ACK[6]: 0x0000000000000000 (0 GB)
398.15587|FAPI|p9_mss_eff_grouping.C: ATTR_PROC_MEM_BASES    [7]: 0x0000000000000000 (0 GB)
398.15590|FAPI|p9_mss_eff_grouping.C: ATTR_PROC_MEM_BASES_ACK[7]: 0x0000000000000000 (0 GB)
398.15593|FAPI|p9_mss_eff_grouping.C: ATTR_PROC_MEM_SIZES    [7]: 0x0000000000000000 (0 GB)
398.15596|FAPI|p9_mss_eff_grouping.C: ATTR_PROC_MEM_SIZES_ACK[7]: 0x0000000000000000 (0 GB)
398.15599|FAPI|p9_mss_eff_grouping.C: ATTR_PROC_NHTM_BAR_BASE_ADDR : 0x0000000000000000 (0 GB)
398.15601|FAPI|p9_mss_eff_grouping.C: ATTR_PROC_CHTM_BAR_BASE_ADDR[0] : 0x0000000000000000 (0 GB)
398.15604|FAPI|p9_mss_eff_grouping.C: ATTR_PROC_CHTM_BAR_BASE_ADDR[1] : 0x0000000000000000 (0 GB)
398.15607|FAPI|p9_mss_eff_grouping.C: ATTR_PROC_CHTM_BAR_BASE_ADDR[2] : 0x0000000000000000 (0 GB)
398.15610|FAPI|p9_mss_eff_grouping.C: ATTR_PROC_CHTM_BAR_BASE_ADDR[3] : 0x0000000000000000 (0 GB)
398.15612|FAPI|p9_mss_eff_grouping.C: ATTR_PROC_CHTM_BAR_BASE_ADDR[4] : 0x0000000000000000 (0 GB)
398.15615|FAPI|p9_mss_eff_grouping.C: ATTR_PROC_CHTM_BAR_BASE_ADDR[5] : 0x0000000000000000 (0 GB)
398.15618|FAPI|p9_mss_eff_grouping.C: ATTR_PROC_CHTM_BAR_BASE_ADDR[6] : 0x0000000000000000 (0 GB)
398.15620|FAPI|p9_mss_eff_grouping.C: ATTR_PROC_CHTM_BAR_BASE_ADDR[7] : 0x0000000000000000 (0 GB)
398.15623|FAPI|p9_mss_eff_grouping.C: ATTR_PROC_CHTM_BAR_BASE_ADDR[8] : 0x0000000000000000 (0 GB)
398.15626|FAPI|p9_mss_eff_grouping.C: ATTR_PROC_CHTM_BAR_BASE_ADDR[9] : 0x0000000000000000 (0 GB)
398.15628|FAPI|p9_mss_eff_grouping.C: ATTR_PROC_CHTM_BAR_BASE_ADDR[10] : 0x0000000000000000 (0 GB)
398.15632|FAPI|p9_mss_eff_grouping.C: ATTR_PROC_CHTM_BAR_BASE_ADDR[11] : 0x0000000000000000 (0 GB)
398.15635|FAPI|p9_mss_eff_grouping.C: ATTR_PROC_CHTM_BAR_BASE_ADDR[12] : 0x0000000000000000 (0 GB)
398.15637|FAPI|p9_mss_eff_grouping.C: ATTR_PROC_CHTM_BAR_BASE_ADDR[13] : 0x0000000000000000 (0 GB)
398.15640|FAPI|p9_mss_eff_grouping.C: ATTR_PROC_CHTM_BAR_BASE_ADDR[14] : 0x0000000000000000 (0 GB)
398.15643|FAPI|p9_mss_eff_grouping.C: ATTR_PROC_CHTM_BAR_BASE_ADDR[15] : 0x0000000000000000 (0 GB)
398.15645|FAPI|p9_mss_eff_grouping.C: ATTR_PROC_CHTM_BAR_BASE_ADDR[16] : 0x0000000000000000 (0 GB)
398.15648|FAPI|p9_mss_eff_grouping.C: ATTR_PROC_CHTM_BAR_BASE_ADDR[17] : 0x0000000000000000 (0 GB)
398.15651|FAPI|p9_mss_eff_grouping.C: ATTR_PROC_CHTM_BAR_BASE_ADDR[18] : 0x0000000000000000 (0 GB)
398.15653|FAPI|p9_mss_eff_grouping.C: ATTR_PROC_CHTM_BAR_BASE_ADDR[19] : 0x0000000000000000 (0 GB)
398.15656|FAPI|p9_mss_eff_grouping.C: ATTR_PROC_CHTM_BAR_BASE_ADDR[20] : 0x0000000000000000 (0 GB)
398.15659|FAPI|p9_mss_eff_grouping.C: ATTR_PROC_CHTM_BAR_BASE_ADDR[21] : 0x0000000000000000 (0 GB)
398.15662|FAPI|p9_mss_eff_grouping.C: ATTR_PROC_CHTM_BAR_BASE_ADDR[22] : 0x0000000000000000 (0 GB)
398.15664|FAPI|p9_mss_eff_grouping.C: ATTR_PROC_CHTM_BAR_BASE_ADDR[23] : 0x0000000000000000 (0 GB)
398.15667|FAPI|p9_mss_eff_grouping.C: ATTR_PROC_OCC_SANDBOX_BASE_ADDR: 0x0000000000000000 (0 GB)
398.15669|FAPI|p9_mss_eff_grouping.C: ATTR_PROC_SMF_BAR_BASE_ADDR : 0x0000000000000000 (0 GB)
398.15671|FAPI|p9_mss_eff_grouping.C: Num of HTM queues:
398.15672|FAPI|p9_mss_eff_grouping.C: ATTR_HTM_QUEUES[0]: 0
398.15673|FAPI|p9_mss_eff_grouping.C: ATTR_HTM_QUEUES[1]: 0
398.15674|FAPI|p9_mss_eff_grouping.C: ATTR_HTM_QUEUES[2]: 0
398.15675|FAPI|p9_mss_eff_grouping.C: ATTR_HTM_QUEUES[3]: 0
398.15677|FAPI|p9_mss_eff_grouping.C: ATTR_HTM_QUEUES[4]: 0
398.15678|FAPI|p9_mss_eff_grouping.C: ATTR_HTM_QUEUES[5]: 0
398.15679|FAPI|p9_mss_eff_grouping.C: ATTR_HTM_QUEUES[6]: 0
398.15680|FAPI|p9_mss_eff_grouping.C: ATTR_HTM_QUEUES[7]: 0
398.15688|ISTEPS_TRACE|SUCCESS :  p9_mss_eff_grouping HWP on target 00050000
398.24221|NVRAM|NVRAM: Partition at offset 0xffff0 extends beyond end of nvram !

398.24226|ERRL|E>Error created : PLID=90000007, RC=3901, Mod=01, Userdata=FFFFFFFFFFFFFFFF 0000000081E36000, Sev=INFORMATIONAL
398.24232|ISTEPS_TRACE|I>NVRAM read failed. Will not attempt to distribute any SMF memory.
398.24234|ISTEPS_TRACE|call_mss_eff_config exit
398.40556|ERRL|I>Got an error log Msg - Type: 0x00000039
398.40557|ERRL|I>Flush message received
398.41613|INITSVC|<<doIstep: step 7, substep 4
398.42084|INITSVC|>>doIstep: step 7, substep 5, task mss_attr_update
