392.44326|ISTEP  6.12 - host_voltage_config
392.74343|FAPI|p9_pstate_parameter_block.C: iv_poundW_data.poundw[3] VDM_FREQ_RETURN S_N = 2
392.74346|FAPI|p9_pstate_parameter_block.C: Skipping IQ (IDDQ) Data as WOF is disabled
392.74347|FAPI|p9_pstate_parameter_block.C: Load RAW VPD
392.74348|FAPI|p9_pstate_parameter_block.C: PSTATE ed8 74b 115
392.74349|FAPI|p9_pstate_parameter_block.C: PSTATE ed8 a8c 66
392.74351|FAPI|p9_pstate_parameter_block.C: PSTATE ed8 c80 36
392.74352|FAPI|p9_pstate_parameter_block.C: PSTATE ed8 ed8 0
392.74353|FAPI|p9_pstate_parameter_block.C: Load VPD
392.74354|FAPI|p9_pstate_parameter_block.C: <<<<<<<<< vpd_init
392.75592|FAPI|p9_pstate_parameter_block.C: >>>>>>>>>> safe_mode_init
392.75594|FAPI|p9_pstate_parameter_block.C: core_floor_mhz 00000074b (1867)
392.75598|FAPI|p9_pstate_parameter_block.C: operating_point[POWERSAVE].frequency_mhz 00000074b (1867)
392.75600|FAPI|p9_pstate_parameter_block.C: reference_freq 00039fbc0 (3800000)
392.75601|FAPI|p9_pstate_parameter_block.C: step_frequency 00000411a (16666)
392.75604|FAPI|p9_pstate_parameter_block.C: Core floor less than or equal to POWERSAVE
392.75607|FAPI|p9_pstate_parameter_block.C: safe_mode_values.safe_op_freq_mhz 00000074b (1867)
392.75611|FAPI|p9_pstate_parameter_block.C: l_safe_mode_values.safe_vdm_jump_value 4 ->  12.5 %%
392.75613|FAPI|p9_pstate_parameter_block.C: Setting safe mode frequency to 2152 MHz (0x868) 39fbc0
392.75617|FAPI|p9_pstate_parameter_block.C: l_safe_mode_values.safe_mode_freq_mhz 0x868 (2152)
392.75619|FAPI|p9_pstate_parameter_block.C: l_safe_mode_values.safe_mode_ps 62 (98)
392.75622|FAPI|p9_pstate_parameter_block.C: l_globalppb.i_operating_points[Nominal   ].vdd_mv 0x2e2 (738)
392.75626|FAPI|p9_pstate_parameter_block.C: l_globalppb.i_operating_points[PowerSave ].vdd_mv 0x276 (630)
392.75630|FAPI|p9_pstate_parameter_block.C: l_globalppb.i_operating_points[Nominal   ].pstate 0x42  (66)
392.75633|FAPI|p9_pstate_parameter_block.C: l_globalppb.i_operating_points[PowerSave ].pstate 0x73  (115)
392.75634|FAPI|p9_pstate_parameter_block.C: l_SlopeValue 2343
392.75636|FAPI|p9_pstate_parameter_block.C: l_vdd 0x29b (667)
392.75638|FAPI|p9_pstate_parameter_block.C: Setting safe mode voltage to 667 mv (0x29b)
392.75641|FAPI|p9_pstate_parameter_block.C: l_safe_mode_values.safe_mode_mv 0x29b (667)
392.75643|FAPI|p9_pstate_parameter_block.C: l_safe_mode_values.boot_mode_mv 0x29b (667)
392.75645|FAPI|p9_pstate_parameter_block.C: <<<<<<<<<< safe_mode_init
392.75647|FAPI|p9_pstate_parameter_block.C: VDD boot voltage override set.
392.75652|FAPI|p9_pstate_parameter_block.C: VCS boot voltage override not set, using VPD value and correcting for applicable load line setting
392.75658|FAPI|p9_pstate_parameter_block.C: VCS VPD voltage 957 mV; Corrected voltage: 957 mV; ICS: 3000 mA; LoadLine: 0 uOhm; DistLoss: 64 uOhm;  Offst: 0 uOhm
392.75664|FAPI|p9_pstate_parameter_block.C: VDN boot voltage override not set, using VPD value and correcting for applicable load line setting
392.75670|FAPI|p9_pstate_parameter_block.C: VDN VPD voltage 700 mV; Corrected voltage: 702 mV; IDN: 41000 mA; LoadLine: 0 uOhm; DistLoss: 50 uOhm;  Offst: 0 uOhm
392.75674|FAPI|p9_pstate_parameter_block.C: Setting Boot Voltage attributes: VDD = 667mV; VCS = 957mV; VDN = 702mV
392.75677|FAPI|p9_pstate_parameter_block.C: VDD boot voltage = 667 mV (0x29b)
392.75678|FAPI|p9_pstate_parameter_block.C: VCS boot voltage = 957 mV (0x3bd)
392.75681|FAPI|p9_pstate_parameter_block.C: VDN boot voltage = 702 mV (0x2be)
394.38883|ERRL|I>Got an error log Msg - Type: 0x00000039
394.38885|ERRL|I>Flush message received
394.38887|INITSVC|<<doIstep: step 6, substep 12
394.38889|INITSVC|>>doIstep: step 7, substep 1, task mss_attr_cleanup
