451.45807|ISTEP 14. 1 - mss_memdiag
452.03945|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.03949|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.03952|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.03955|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.03958|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.03961|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.03964|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.03967|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.03970|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.03974|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.03977|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.03980|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.03983|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.03986|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.03989|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.03992|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.03996|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.03999|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04002|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04005|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04008|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04011|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04014|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04017|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04020|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04023|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04026|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04029|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04033|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04036|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04039|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04042|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04045|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04048|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04051|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04055|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04058|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04061|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04064|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04067|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04070|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04073|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04076|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04079|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04082|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04085|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04088|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04091|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04094|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04097|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04100|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04103|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04106|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04109|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04112|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04115|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04119|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04122|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04125|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04128|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04131|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04135|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04138|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04141|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04144|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04147|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04150|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04154|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04157|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04160|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04163|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04166|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04169|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04172|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04175|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04179|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04182|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04186|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04189|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04192|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04195|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04199|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04202|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04205|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04208|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04211|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04214|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04217|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04220|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04223|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04226|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04229|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04232|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04235|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04238|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04241|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04244|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04247|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04250|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04253|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04256|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04259|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04262|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04265|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04268|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04271|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04273|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04276|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04279|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04282|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04285|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04289|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04291|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04294|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04297|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04300|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04303|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04307|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04310|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04313|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04316|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04320|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04323|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04326|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04330|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04333|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04336|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04339|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04342|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04345|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04349|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04352|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04355|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04359|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04362|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04365|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04368|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04372|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04375|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04378|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04381|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04384|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04387|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04391|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04394|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04397|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04400|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04404|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04407|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04410|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04413|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04416|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04419|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04423|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04426|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04429|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04432|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04436|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04439|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04442|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04446|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04449|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04452|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04455|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0000000000000000
452.04531|ATTN_SLOW|I>starting...
452.04533|INTR|INTR::register intr type 0x4
452.04605|ATTN_SLOW|I>..startup complete, intr: 388, prd: 389
452.08493|MDIA_FAST|I>memory diagnostics entry with 1 target(s)
452.08809|MDIA_FAST|I>getDiagnosticMode: trgt: 250000, o_mode: 0x0, simics: 0
452.09268|MDIA_FAST|I>sm: setup complete: target(s): 1, status: 0
452.09269|MDIA_FAST|I>sm: starting up
452.09271|MDIA_FAST|I>Starting threadPool with 4 tasks...
452.09279|MDIA_FAST|I>sm: dispatching work item 11 for: 0x00250000, priority: 4, unit: 0
452.09281|MDIA_FAST|I>sm: waiting for completion of 1 target(s), status: 0
452.09285|MDIA_FAST|I>sm: executing work item 11 for: 0x00250000
452.09289|MDIA_SLOW|I>sm: restoreDramRepairs(0x00240001)
452.20979|PRDF|>>PRDF::restoreDramRepairs<T>(0x00240001)
452.23089|PRDF|>>PRDF::noLock_initialize() 
452.25877|PRDF|>>PlatConfigurator::build()
452.40100|PNOR|>>PnorIpmiDD::_writeFlash(i_addr=0x00136000)> 
453.35205|PRDF|<<PlatConfigurator::build()
453.40344|PRDF|<<PRDF::noLock_initialize() 
453.66156|FAPI|attribute_service.C: >>fapiAttrGetBadDqBitmap: Getting bitmap
453.73176|FAPI|attribute_service.C: <<fapiAttrGetBadDqBitmap: Finished getting bitmap
453.76963|FAPI|gen_mss_port.H: dimm:k0:n0:s0:p02 RDIMM (DDR4) Restore repair marks from bad DQ data
453.94924|PRDF|<<PRDF::restoreDramRepairs<T>(0x00240001)
453.96964|MDIA_FAST|I>sm: dispatching work item 0 for: 0x00250000, priority: 3, unit: 0
453.97114|MDIA_FAST|I>sm: executing work item 0 for: 0x00250000
454.00884|FAPI|gen_mss_memdiags.H: superfast init start for pu.mcbist:k0:n0:s0:p00:c0
454.01034|FAPI|gen_mss_mcbist_settings.H: setting up constraints with pattern 0
454.01037|FAPI|gen_mss_memdiags.H: multi-port init for pu.mcbist:k0:n0:s0:p00:c0
454.03091|FAPI|memdiags.C: multi-port init internal for pu.mcbist:k0:n0:s0:p00:c0
454.04659|FAPI|memdiags.C: pu.mcbist:k0:n0:s0:p00:c0 start port/dimm: 0 end port/dimm: 7
454.09228|FAPI|mcbist.C: pu.mcbist:k0:n0:s0:p00:c0 chip and attributes allow for BC mode
454.09237|FAPI|mcbist.C: MCA vector from pu.mcbist:k0:n0:s0:p00:c0 has the same number of DIMMs per port: 1 - is broadcast capable
454.16347|FAPI|mcbist.C: DIMM kinds vector starting with dimm:k0:n0:s0:p02 RDIMM (DDR4) has the kinds for all DIMM's - is broadcast capable
454.16500|FAPI|mcbist.C: pu.mcbist:k0:n0:s0:p00:c0 is broadcast capable
454.16508|FAPI|memdiags.C: 1 DIMMs under pu.mca:k0:n0:s0:p00:c1
454.21942|FAPI|memdiags.C: Start port_dimm address 0, pu.mca:k0:n0:s0:p00:c1 first configured mca start address 2
454.22096|FAPI|memdiags.C: Updated 1 DIMMs on the MCBIST to 1 on the first configured MCA due to broadcast mode for pu.mcbist:k0:n0:s0:p00:c0
454.22102|FAPI|memdiags.C: last addr in start port 0x00000007ffffffff first addr in end port 0x0000003000000000 for pu.mcbist:k0:n0:s0:p00:c0
454.24188|FAPI|gen_mss_mcbist.H: config MCBIST address range 0 start: 0x0000000000000000 (0x0000000000000000), end/len 0x00000007ffffffff (0x1ffffffffc000000)
454.30058|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123CC 0000000000000000
454.30063|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123CE 1FFFFFFFFC000000
454.30070|FAPI|gen_mss_mcbist.H: config MCBIST address range 1 start: 0x0000000000000000 (0x0000000000000000), end/len 0x0000003fffffffff (0xfffffffffc000000)
454.30074|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123CD 0000000000000000
454.30079|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123CF FFFFFFFFFC000000
454.30085|FAPI|gen_mss_mcbist.H: config MCBIST address range 2 start: 0x0000003000000000 (0xc000000000000000), end/len 0x0000003fffffffff (0xfffffffffc000000)
454.30090|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123D0 C000000000000000
454.30094|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123D2 FFFFFFFFFC000000
454.30097|FAPI|memdiags.C: Adding subtests for 1 DIMMs on pu.mcbist:k0:n0:s0:p00:c0
454.31422|FAPI|memdiags.C: pu.mcbist:k0:n0:s0:p00:c0 port/dimm 2, port/dimm start: 0
454.31424|FAPI|gen_mss_mcbist.H: changed address select to index 1 (0x409)
454.31429|FAPI|memdiags.C: adding subtest for pu.mcbist:k0:n0:s0:p00:c0 (port: 1 dimm 0 dimm relative position to MCBIST: )
454.31431|FAPI|memdiags.C: Total subtests added: 1 for pu.mcbist:k0:n0:s0:p00:c0
454.31581|FAPI|gen_mss_memdiags.H: memdiags base init for pu.mcbist:k0:n0:s0:p00:c0
454.31585|FAPI|gen_mss_memdiags.H: Stopping any mcbist operations which are in progress for pu.mcbist:k0:n0:s0:p00:c0
454.31738|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123DB 1000000000000000
454.31743|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123DB 5000000000000000
454.31896|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123DC 0000000000000000
454.31901|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123D7 0000000000000000
454.31905|FAPI|gen_mss_memdiags.H: MCBIST last address (during stop): 0x0000000000000000 for pu.mcbist:k0:n0:s0:p00:c0
454.31907|FAPI|gen_mss_mcbist.H: change MCBIST pattern index 0
454.33123|FAPI|gen_mss_mcbist.H: load MCBIST end boundaries 0x0000000000000000 detect slave? no
454.33931|FAPI|gen_mss_mcbist.H: mcbist select ports: iv_control 0x3c00000000000000 (ports: 0xf)
454.33934|FAPI|mcbist.C: pu.mcbist:k0:n0:s0:p00:c0 chip and attributes allow for BC mode
454.33944|FAPI|mcbist.C: MCA vector from pu.mcbist:k0:n0:s0:p00:c0 has the same number of DIMMs per port: 1 - is broadcast capable
454.33968|FAPI|mcbist.C: DIMM kinds vector starting with dimm:k0:n0:s0:p02 RDIMM (DDR4) has the kinds for all DIMM's - is broadcast capable
454.33969|FAPI|mcbist.C: pu.mcbist:k0:n0:s0:p00:c0 is broadcast capable
454.33972|FAPI|mcbist.C: pu.mcbist:k0:n0:s0:p00:c0 is broadcast capable, enabling broadcast mode
454.33978|FAPI|gen_mss_mcbist.H: mcbist select ports: iv_control 0x1000000000000000 (ports: 0x4)
454.35579|FAPI|gen_mss_mcbist.H: Clear MCBIST error state for pu.mcbist:k0:n0:s0:p00:c0
454.35584|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012366 0000000000000000
454.35588|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012355 0000000000000000
454.35592|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012356 0000000000000000
454.35597|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012300 0000000000000000
454.35751|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 000000000701090D 73FFE00033F7FD00
454.35755|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 000000000701090D 77FFE00033F7FD00
454.35763|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 000000000701090E FC000881F0010042
454.35768|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 000000000701090E FE000881F0010042
454.35920|FAPI|gen_mss_mcbist.H: loading MCBIST Address Generation 0x0030000000000000 for pu.mcbist:k0:n0:s0:p00:c0
454.35924|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123D6 0030000000000000
454.35929|FAPI|gen_mss_mcbist.H: load MCBIST parameter register: 0x0000000000000000 for pu.mcbist:k0:n0:s0:p00:c0
454.35933|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123AF 0000000000000000
454.36851|FAPI|gen_mss_mcbist.H: load MCBIST address map register 0: 0x0000000000000000 for pu.mcbist:k0:n0:s0:p00:c0
454.36856|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123C8 0000000000000000
454.36860|FAPI|gen_mss_mcbist.H: load MCBIST address map register 1: 0x0000000000000000 for pu.mcbist:k0:n0:s0:p00:c0
454.36865|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123C9 0000000000000000
454.36869|FAPI|gen_mss_mcbist.H: load MCBIST address map register 2: 0x0000000000000000 for pu.mcbist:k0:n0:s0:p00:c0
454.36873|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123CA 0000000000000000
