440.38906|ISTEP 13.11 - mss_draminit_training
440.55220|FAPI|ccs.H: css inst 0: 0x041028F04C000000 0x0008000000000001 (0x7012315, 0x7012335) delay: 0x8 (0x8) pu.mcbist:k0:n0:s0:p00:c0
440.55225|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012316 1BC558F04C000000
440.55229|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012336 0008000000000002
440.55235|FAPI|ccs.H: css inst 1: 0x1BC558F04C000000 0x0008000000000002 (0x7012316, 0x7012336) delay: 0x8 (0x10) pu.mcbist:k0:n0:s0:p00:c0
440.55239|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012317 801048F04C000000
440.55244|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012337 0008000000000003
440.55250|FAPI|ccs.H: css inst 2: 0x801048F04C000000 0x0008000000000003 (0x7012317, 0x7012337) delay: 0x8 (0x18) pu.mcbist:k0:n0:s0:p00:c0
440.55254|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012318 9FC538F04C000000
440.55258|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012338 0008000000000004
440.55264|FAPI|ccs.H: css inst 3: 0x9FC538F04C000000 0x0008000000000004 (0x7012318, 0x7012338) delay: 0x8 (0x20) pu.mcbist:k0:n0:s0:p00:c0
440.55266|FAPI|conversions.H: converting 32 cycles to 24000ps
440.55268|FAPI|ccs.H: executing ccs instructions (4:4, 24) for pu.mcbist:k0:n0:s0:p00:c0
440.55272|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012319 000008F0CC000000
440.55277|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012339 0000000000000020
440.55281|FAPI|ccs.H: css inst 4 fixup: 0x000008F0CC000000 0x0000000000000020 (0x7012319, 0x7012339) pu.mcbist:k0:n0:s0:p00:c0
440.55284|FAPI|ccs.H: executing CCS array for port 1 (pu.mca:k0:n0:s0:p00:c1)
440.55288|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123DB 1000000000000000
440.55292|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123DB 1000000000000000
440.55297|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A5 0000000000000000
440.55301|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A5 8000000000000000
440.55305|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A6 4000000000000000
440.55307|FAPI|ccs.H: pu.mca:k0:n0:s0:p00:c1 CCS Executed Successfully.
440.55311|FAPI|mss_training.C: pu.mca:k0:n0:s0:p00:c1 RP0 running WR_LVL workaround cleanup
440.55321|FAPI|rank.H: get_pair_valid (rp0, r0): 0x1
440.55322|FAPI|rank.H: get_rank_field (rp0, r0): 0x0
440.55323|FAPI|rank.H: get_pair_valid (rp0, r1): 0x0
440.55325|FAPI|rank.H: get_pair_valid (rp0, r2): 0x0
440.55326|FAPI|rank.H: get_pair_valid (rp0, r3): 0x0
440.55328|FAPI|ccs.H: loading ccs instructions (0) for pu.mcbist:k0:n0:s0:p00:c0
440.55337|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A5 0000000000000000
440.55341|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A5 4000000000000000
440.55345|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A6 4000000000000000
440.55347|FAPI|ccs.H: ccs statq (stop) 0x4000000000000000, remaining: 50
440.55350|FAPI|mss_training.C: pu.mca:k0:n0:s0:p00:c1 rp0 running INITIAL_PATTERN_WRITE
440.55354|FAPI|mss_training.H: pu.mca:k0:n0:s0:p00:c1 RP0 cal step 'INITIAL_PATTERN_WRITE' has no pre-cal step workaround.
440.55357|FAPI|mss_training.C: pu.mca:k0:n0:s0:p00:c1 RP0 running cal step 'INITIAL_PATTERN_WRITE'
440.55359|FAPI|conversions.H: converting 0 cycles to 0ps
440.55361|FAPI|conversions.H: converting 10000000ps to 13334 cycles
440.55363|FAPI|conversions.H: converting 1 cycles to 750ps
440.55366|FAPI|cal_timers.H: pu.mca:k0:n0:s0:p00:c1 tc: 1c, id: 0ns(0sc), d: 10000(106672sc), pc: 8
440.55369|FAPI|ddr_phy.C: cal_config for pu.mca:k0:n0:s0:p00:c1: 0x0000000000004008
440.55373|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000C0160701103F 0000000000004008
440.55376|FAPI|ccs.H: loading ccs instructions (1) for pu.mcbist:k0:n0:s0:p00:c0
440.55384|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A5 0000000000000000
440.55388|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A5 4000000000000000
440.55392|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A6 4000000000000000
440.55394|FAPI|ccs.H: ccs statq (stop) 0x4000000000000000, remaining: 50
440.55398|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012315 000000F0CC0000C0
440.55403|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012335 0000000000000041
440.55408|FAPI|ccs.H: css inst 0: 0x000000F0CC0000C0 0x0000000000000041 (0x7012315, 0x7012335) delay: 0x0 (0x0) pu.mcbist:k0:n0:s0:p00:c0
440.55410|FAPI|conversions.H: converting 0 cycles to 0ps
440.55413|FAPI|ccs.H: executing ccs instructions (1:1, 0) for pu.mcbist:k0:n0:s0:p00:c0
440.55417|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012316 000008F0CC000000
440.55421|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012336 0000000000000020
440.55426|FAPI|ccs.H: css inst 1 fixup: 0x000008F0CC000000 0x0000000000000020 (0x7012316, 0x7012336) pu.mcbist:k0:n0:s0:p00:c0
440.55428|FAPI|ccs.H: executing CCS array for port 1 (pu.mca:k0:n0:s0:p00:c1)
440.55432|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123DB 1000000000000000
440.55437|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123DB 1000000000000000
440.55441|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A5 0000000000000000
440.55446|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A5 8000000000000000
440.55450|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A6 4000000000000000
440.55452|FAPI|ccs.H: pu.mca:k0:n0:s0:p00:c1 CCS Executed Successfully.
440.55457|FAPI|mss_training.H: pu.mca:k0:n0:s0:p00:c1 RP0 cal step 'INITIAL_PATTERN_WRITE' has no post-cal step workaround.
440.55460|FAPI|mss_training.C: pu.mca:k0:n0:s0:p00:c1 rp0 running DQS_ALIGN
440.55463|FAPI|mss_training.H: pu.mca:k0:n0:s0:p00:c1 RP0 cal step 'DQS_ALIGN' has no pre-cal step workaround.
440.55466|FAPI|mss_training.C: pu.mca:k0:n0:s0:p00:c1 RP0 running cal step 'DQS_ALIGN'
440.55468|FAPI|conversions.H: converting 14400 cycles to 10800000ps
440.55470|FAPI|conversions.H: converting 1800 cycles to 1350000ps
440.55472|FAPI|conversions.H: converting 10000000ps to 13334 cycles
440.55474|FAPI|conversions.H: converting 14400 cycles to 10800000ps
440.55478|FAPI|cal_timers.H: pu.mca:k0:n0:s0:p00:c1 tc: 14400c, id: 1350ns(14400sc), d: 10000(106672sc), pc: 8
440.55481|FAPI|ddr_phy.C: cal_config for pu.mca:k0:n0:s0:p00:c1: 0x0000000000002008
440.55485|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000C0160701103F 0000000000002008
440.55488|FAPI|ccs.H: loading ccs instructions (1) for pu.mcbist:k0:n0:s0:p00:c0
440.55496|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A5 0000000000000000
440.55500|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A5 4000000000000000
440.55505|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A6 4000000000000000
440.55506|FAPI|ccs.H: ccs statq (stop) 0x4000000000000000, remaining: 50
440.55511|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012315 000000F0CC0000C0
440.55515|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012335 0000000000000041
440.55521|FAPI|ccs.H: css inst 0: 0x000000F0CC0000C0 0x0000000000000041 (0x7012315, 0x7012335) delay: 0x0 (0x0) pu.mcbist:k0:n0:s0:p00:c0
440.55524|FAPI|ccs.H: executing ccs instructions (1:1, 1350) for pu.mcbist:k0:n0:s0:p00:c0
440.55528|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012316 000008F0CC000000
440.55532|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012336 0000000000000020
440.55537|FAPI|ccs.H: css inst 1 fixup: 0x000008F0CC000000 0x0000000000000020 (0x7012316, 0x7012336) pu.mcbist:k0:n0:s0:p00:c0
440.55539|FAPI|ccs.H: executing CCS array for port 1 (pu.mca:k0:n0:s0:p00:c1)
440.55543|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123DB 1000000000000000
440.55547|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123DB 1000000000000000
440.55552|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A5 0000000000000000
440.55556|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A5 8000000000000000
440.55560|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A6 4000000000000000
440.55562|FAPI|ccs.H: pu.mca:k0:n0:s0:p00:c1 CCS Executed Successfully.
440.55716|FAPI|mss_training.C: pu.mca:k0:n0:s0:p00:c1 rp0 running RDCLK_ALIGN
440.55722|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000C0170701103F 000000000000FE13
440.55724|FAPI|phy_cntrl.H: Read pc_init_cal_config1: 0x000000000000fe13
440.55725|FAPI|phy_cntrl.H: set init_cal refresh_control: 0
440.55727|FAPI|phy_cntrl.H: Writing to pc_init_cal_config1: 0x000000000000f213
440.55731|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000C0170701103F 000000000000F213
440.55734|FAPI|mss_training.C: pu.mca:k0:n0:s0:p00:c1 RP0 running cal step 'RDCLK_ALIGN'
440.55736|FAPI|conversions.H: converting 26880 cycles to 20160000ps
440.55739|FAPI|conversions.H: converting 3360 cycles to 2520000ps
440.55740|FAPI|conversions.H: converting 10000000ps to 13334 cycles
440.55742|FAPI|conversions.H: converting 26880 cycles to 20160000ps
440.55746|FAPI|cal_timers.H: pu.mca:k0:n0:s0:p00:c1 tc: 26880c, id: 2520ns(26880sc), d: 10000(106672sc), pc: 8
440.55748|FAPI|ddr_phy.C: cal_config for pu.mca:k0:n0:s0:p00:c1: 0x0000000000001008
440.55754|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000C0160701103F 0000000000001008
440.55756|FAPI|ccs.H: loading ccs instructions (1) for pu.mcbist:k0:n0:s0:p00:c0
440.55764|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A5 0000000000000000
440.55768|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A5 4000000000000000
440.55773|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A6 4000000000000000
440.55774|FAPI|ccs.H: ccs statq (stop) 0x4000000000000000, remaining: 50
440.55778|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012315 000000F0CC0000C0
440.55783|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012335 0000000000000041
440.55788|FAPI|ccs.H: css inst 0: 0x000000F0CC0000C0 0x0000000000000041 (0x7012315, 0x7012335) delay: 0x0 (0x0) pu.mcbist:k0:n0:s0:p00:c0
440.55791|FAPI|ccs.H: executing ccs instructions (1:1, 2520) for pu.mcbist:k0:n0:s0:p00:c0
440.55795|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012316 000008F0CC000000
440.55800|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012336 0000000000000020
440.55804|FAPI|ccs.H: css inst 1 fixup: 0x000008F0CC000000 0x0000000000000020 (0x7012316, 0x7012336) pu.mcbist:k0:n0:s0:p00:c0
440.55806|FAPI|ccs.H: executing CCS array for port 1 (pu.mca:k0:n0:s0:p00:c1)
440.55810|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123DB 1000000000000000
440.55815|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123DB 1000000000000000
440.55819|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A5 0000000000000000
440.55823|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A5 8000000000000000
440.55828|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A6 4000000000000000
440.55830|FAPI|ccs.H: pu.mca:k0:n0:s0:p00:c1 CCS Executed Successfully.
440.55840|FAPI|dp16_workarounds.C: Changing red waterfalls for pu.mca:k0:n0:s0:p00:c1
440.55844|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800000090701103F 0000000000004400
440.55849|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800000090701103F 0000000000008844
440.55854|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800004090701103F 00000000000088CC
440.55859|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800004090701103F 000000000000CC00
440.55864|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800008090701103F 00000000000088BB
440.55868|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800008090701103F 000000000000CCFF
440.55873|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000C090701103F 000000000000BBCC
440.55879|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000C090701103F 000000000000FF00
440.55884|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800010090701103F 0000000000000000
440.55889|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800010090701103F 0000000000004400
440.55895|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000C4120701103F 0000000000005559
440.55900|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000C4120701103F 0000000000005559
440.55905|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000C0170701103F 000000000000F213
440.55906|FAPI|phy_cntrl.H: Read pc_init_cal_config1: 0x000000000000f213
440.55907|FAPI|phy_cntrl.H: set init_cal refresh_count: 15
440.55909|FAPI|phy_cntrl.H: set init_cal refresh_control: 3
440.55910|FAPI|phy_cntrl.H: set init_cal refresh_all_ranks: high
440.55911|FAPI|phy_cntrl.H: set init_cal snoop_dis: low
440.55912|FAPI|phy_cntrl.H: set init_cal refresh_interval: 19
440.55914|FAPI|phy_cntrl.H: Writing to pc_init_cal_config1: 0x000000000000fe13
440.55919|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000C0170701103F 000000000000FE13
440.55922|FAPI|mss_training.C: pu.mca:k0:n0:s0:p00:c1 rp0 running READ_CTR
440.55928|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000C0170701103F 000000000000FE13
440.55930|FAPI|phy_cntrl.H: Read pc_init_cal_config1: 0x000000000000fe13
440.55931|FAPI|phy_cntrl.H: set init_cal refresh_control: 0
440.55933|FAPI|phy_cntrl.H: Writing to pc_init_cal_config1: 0x000000000000f213
440.55937|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000C0170701103F 000000000000F213
440.55944|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800000030701103F 0000000000000120
440.55949|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800000030701103F 0000000000000122
440.55954|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800004030701103F 0000000000000120
440.55959|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800004030701103F 0000000000000122
440.55964|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800008030701103F 0000000000000120
440.55969|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800008030701103F 0000000000000122
440.55973|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000C030701103F 0000000000000120
440.55978|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000C030701103F 0000000000000122
440.55983|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800010030701103F 0000000000000120
440.55988|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800010030701103F 0000000000000122
440.56147|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800000760701103F 000000000000FFFF
440.56152|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800004760701103F 000000000000FFFF
440.56157|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800008760701103F 000000000000FFFF
440.56162|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000C760701103F 000000000000FFFF
440.56167|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800010760701103F 000000000000FFFF
440.56172|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000C80A0701103F 0000000000002240
440.56175|FAPI|ddr_phy.C: pu.mca:k0:n0:s0:p00:c1 Enabling read VREF cal, read centering is yup
440.56180|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000C80A0701103F 0000000000002248
440.56182|FAPI|mss_training.C: pu.mca:k0:n0:s0:p00:c1 RP0 running cal step 'READ_CTR'
440.56185|FAPI|conversions.H: converting 39168 cycles to 29376000ps
440.56187|FAPI|read_cntrl.H: VREF guess wait time: 271600 (freq: 2666)
440.56189|FAPI|conversions.H: converting 38846 cycles to 29134500ps
440.56191|FAPI|conversions.H: converting 10000000ps to 13334 cycles
440.56193|FAPI|conversions.H: converting 310768 cycles to 233076000ps
440.56197|FAPI|cal_timers.H: pu.mca:k0:n0:s0:p00:c1 tc: 310768c, id: 29135ns(310768sc), d: 10000(106672sc), pc: 80
440.56200|FAPI|ddr_phy.C: cal_config for pu.mca:k0:n0:s0:p00:c1: 0x0000000000000808
440.56205|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000C0160701103F 0000000000000808
440.56207|FAPI|ccs.H: loading ccs instructions (1) for pu.mcbist:k0:n0:s0:p00:c0
440.56215|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A5 0000000000000000
440.56219|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A5 4000000000000000
440.56224|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A6 4000000000000000
440.56226|FAPI|ccs.H: ccs statq (stop) 0x4000000000000000, remaining: 50
440.56230|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012315 000000F0CC0000C0
440.56234|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012335 0000000000000041
440.56240|FAPI|ccs.H: css inst 0: 0x000000F0CC0000C0 0x0000000000000041 (0x7012315, 0x7012335) delay: 0x0 (0x0) pu.mcbist:k0:n0:s0:p00:c0
440.56243|FAPI|ccs.H: executing ccs instructions (1:1, 29135) for pu.mcbist:k0:n0:s0:p00:c0
440.56247|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012316 000008F0CC000000
440.56251|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012336 0000000000000020
440.56257|FAPI|ccs.H: css inst 1 fixup: 0x000008F0CC000000 0x0000000000000020 (0x7012316, 0x7012336) pu.mcbist:k0:n0:s0:p00:c0
440.56259|FAPI|ccs.H: executing CCS array for port 1 (pu.mca:k0:n0:s0:p00:c1)
440.56263|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123DB 1000000000000000
440.56267|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123DB 1000000000000000
440.56271|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A5 0000000000000000
440.56276|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A5 8000000000000000
440.56283|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A6 8000000000000000
440.56289|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A6 8000000000000000
440.56295|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A6 8000000000000000
440.56301|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A6 8000000000000000
440.56307|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A6 8000000000000000
440.56313|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A6 8000000000000000
440.56318|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A6 8000000000000000
440.56324|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A6 8000000000000000
440.56330|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A6 8000000000000000
440.56336|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A6 8000000000000000
440.56342|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A6 8000000000000000
440.56348|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A6 8000000000000000
440.56354|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A6 8000000000000000
440.56360|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A6 8000000000000000
440.56366|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A6 8000000000000000
440.56371|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A6 4000000000000000
440.56373|FAPI|ccs.H: pu.mca:k0:n0:s0:p00:c1 CCS Executed Successfully.
440.56528|FAPI|dp16_workarounds.C: pu.mca:k0:n0:s0:p00:c1 skipping the rd centering workaround!
440.56534|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000C4120701103F 0000000000005559
440.56539|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000C4120701103F 0000000000005559
440.56544|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000C0170701103F 000000000000F213
440.56546|FAPI|phy_cntrl.H: Read pc_init_cal_config1: 0x000000000000f213
440.56547|FAPI|phy_cntrl.H: set init_cal refresh_count: 15
440.56549|FAPI|phy_cntrl.H: set init_cal refresh_control: 3
440.56550|FAPI|phy_cntrl.H: set init_cal refresh_all_ranks: high
440.56551|FAPI|phy_cntrl.H: set init_cal snoop_dis: low
440.56552|FAPI|phy_cntrl.H: set init_cal refresh_interval: 19
440.56554|FAPI|phy_cntrl.H: Writing to pc_init_cal_config1: 0x000000000000fe13
440.56559|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000C0170701103F 000000000000FE13
440.56565|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800000030701103F 0000000000000122
440.56572|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800000030701103F 0000000000000120
440.56577|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800004030701103F 0000000000000122
440.56581|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800004030701103F 0000000000000120
440.56586|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800008030701103F 0000000000000122
440.56591|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800008030701103F 0000000000000120
440.56596|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000C030701103F 0000000000000122
440.56601|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000C030701103F 0000000000000120
440.56606|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800010030701103F 0000000000000122
440.56611|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800010030701103F 0000000000000120
440.56613|FAPI|mss_training.C: pu.mca:k0:n0:s0:p00:c1 rp0 running WR_VREF_LATCH
440.56616|FAPI|mss_training.C: pu.mca:k0:n0:s0:p00:c1 RP0 WR VREF latch workaround
