460.94878|ISTEP 15. 1 - host_build_stop_image
462.74969|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x12, ringId=0xde size=0x10 rc=0x0
462.74974|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xDF,0x12)
462.74999|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x12, ringId=0xdf size=0x40 rc=0x0
462.75008|FAPI|p9_xip_customize.C: Successfully added VPD ring: (ringId,evenOdd,chipletId)=(0xDF,0x0,0x12)
462.75011|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xB9,0x12)
462.75031|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x12, ringId=0xb9 size=0x134 rc=0x0
462.75040|FAPI|p9_xip_customize.C: Successfully added VPD ring: (ringId,evenOdd,chipletId)=(0xB9,0x1,0x12)
462.75043|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xDD,0x12)
462.75065|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x12, ringId=0xdd size=0x10 rc=0x0
462.75070|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xDE,0x12)
462.75094|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x12, ringId=0xde size=0x10 rc=0x0
462.75099|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xDF,0x12)
462.75124|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x12, ringId=0xdf size=0x1c rc=0x0
462.75133|FAPI|p9_xip_customize.C: Successfully added VPD ring: (ringId,evenOdd,chipletId)=(0xDF,0x1,0x12)
462.75136|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xDC,0x13)
462.75157|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x13, ringId=0xdc size=0x18 rc=0x0
462.75166|FAPI|p9_xip_customize.C: Successfully added VPD ring: (ringId,evenOdd,chipletId)=(0xDC,0x0,0x13)
462.75170|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xB9,0x13)
462.75190|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x13, ringId=0xb9 size=0x134 rc=0x0
462.75199|FAPI|p9_xip_customize.C: Successfully added VPD ring: (ringId,evenOdd,chipletId)=(0xB9,0x0,0x13)
462.75202|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xDD,0x13)
462.75224|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x13, ringId=0xdd size=0x10 rc=0x0
462.75229|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xDE,0x13)
462.75252|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x13, ringId=0xde size=0x10 rc=0x0
462.75258|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xDF,0x13)
462.75283|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x13, ringId=0xdf size=0x44 rc=0x0
462.75292|FAPI|p9_xip_customize.C: Successfully added VPD ring: (ringId,evenOdd,chipletId)=(0xDF,0x0,0x13)
462.75295|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xB9,0x13)
462.75315|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x13, ringId=0xb9 size=0x134 rc=0x0
462.75324|FAPI|p9_xip_customize.C: Successfully added VPD ring: (ringId,evenOdd,chipletId)=(0xB9,0x1,0x13)
462.75327|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xDD,0x13)
462.75349|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x13, ringId=0xdd size=0x10 rc=0x0
462.75354|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xDE,0x13)
462.75379|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x13, ringId=0xde size=0x10 rc=0x0
462.75384|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xDF,0x13)
462.75409|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x13, ringId=0xdf size=0x40 rc=0x0
462.75418|FAPI|p9_xip_customize.C: Successfully added VPD ring: (ringId,evenOdd,chipletId)=(0xDF,0x1,0x13)
462.75421|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xDC,0x14)
462.75442|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x14, ringId=0xdc size=0x18 rc=0x0
462.75451|FAPI|p9_xip_customize.C: Successfully added VPD ring: (ringId,evenOdd,chipletId)=(0xDC,0x0,0x14)
462.75454|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xB9,0x14)
462.75474|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x14, ringId=0xb9 size=0x134 rc=0x0
462.75484|FAPI|p9_xip_customize.C: Successfully added VPD ring: (ringId,evenOdd,chipletId)=(0xB9,0x0,0x14)
462.75487|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xDD,0x14)
462.75509|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x14, ringId=0xdd size=0x10 rc=0x0
462.75515|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xDE,0x14)
462.75538|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x14, ringId=0xde size=0x10 rc=0x0
462.75544|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xDF,0x14)
462.75569|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x14, ringId=0xdf size=0x74 rc=0x0
462.75579|FAPI|p9_xip_customize.C: Successfully added VPD ring: (ringId,evenOdd,chipletId)=(0xDF,0x0,0x14)
462.75582|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xB9,0x14)
462.75602|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x14, ringId=0xb9 size=0x134 rc=0x0
462.75611|FAPI|p9_xip_customize.C: Successfully added VPD ring: (ringId,evenOdd,chipletId)=(0xB9,0x1,0x14)
462.75614|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xDD,0x14)
462.75637|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x14, ringId=0xdd size=0x10 rc=0x0
462.75642|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xDE,0x14)
462.75666|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x14, ringId=0xde size=0x10 rc=0x0
462.75672|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xDF,0x14)
462.75698|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x14, ringId=0xdf size=0x38 rc=0x0
462.75707|FAPI|p9_xip_customize.C: Successfully added VPD ring: (ringId,evenOdd,chipletId)=(0xDF,0x1,0x14)
462.75710|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xDC,0x15)
462.75732|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x15, ringId=0xdc size=0x18 rc=0x0
462.75741|FAPI|p9_xip_customize.C: Successfully added VPD ring: (ringId,evenOdd,chipletId)=(0xDC,0x0,0x15)
462.75744|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xB9,0x15)
462.75765|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x15, ringId=0xb9 size=0x134 rc=0x0
462.75774|FAPI|p9_xip_customize.C: Successfully added VPD ring: (ringId,evenOdd,chipletId)=(0xB9,0x0,0x15)
462.75778|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xDD,0x15)
462.75801|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x15, ringId=0xdd size=0x10 rc=0x0
462.75806|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xDE,0x15)
462.75830|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x15, ringId=0xde size=0x10 rc=0x0
462.75835|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xDF,0x15)
462.75861|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x15, ringId=0xdf size=0x64 rc=0x0
462.75870|FAPI|p9_xip_customize.C: Successfully added VPD ring: (ringId,evenOdd,chipletId)=(0xDF,0x0,0x15)
462.75873|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xB9,0x15)
462.75894|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x15, ringId=0xb9 size=0x134 rc=0x0
462.75903|FAPI|p9_xip_customize.C: Successfully added VPD ring: (ringId,evenOdd,chipletId)=(0xB9,0x1,0x15)
462.75906|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xDD,0x15)
462.75929|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x15, ringId=0xdd size=0x10 rc=0x0
462.75934|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xDE,0x15)
462.75958|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x15, ringId=0xde size=0x10 rc=0x0
462.75964|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xDF,0x15)
462.75990|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x15, ringId=0xdf size=0x48 rc=0x0
462.75999|FAPI|p9_xip_customize.C: Successfully added VPD ring: (ringId,evenOdd,chipletId)=(0xDF,0x1,0x15)
462.76001|FAPI_I|p9_xip_customize.C: bootCoreMask value: 0x00ffffff
462.76002|FAPI|p9_hcode_image_build.C: << getPpeScanRings 
462.76004|FAPI|p9_hcode_image_build.C: >> layoutRingsForSGPE
462.77729|FAPI|p9_hcode_image_build.C: >> layoutCmnRingsForSgpe
462.81027|FAPI|p9_hcode_image_build.C: >> resolveEqInexBucket
462.81028|FAPI|p9_hcode_image_build.C: >> getSelectEqInexBucketAttr
462.81030|FAPI|p9_hcode_image_build.C: << getSelectEqInexBucketAttr
462.81031|FAPI|p9_hcode_image_build.C: << resolveEqInexBucket
462.81036|FAPI|p9_hcode_image_build.C: did not find quad common ring eq_gptr             
462.81039|FAPI|p9_hcode_image_build.C: did not find quad common ring eq_time             
462.81050|FAPI|p9_hcode_image_build.C: did not find quad common ring ex_l3_time          
462.81059|FAPI|p9_hcode_image_build.C: did not find quad common ring ex_l2_time          
462.81062|FAPI|p9_hcode_image_build.C: did not find quad common ring ex_l3_refr_fure     
462.81065|FAPI|p9_hcode_image_build.C: did not find quad common ring ex_l3_refr_gptr     
462.81068|FAPI|p9_hcode_image_build.C: did not find quad common ring eq_ana_func         
462.81072|FAPI|p9_hcode_image_build.C: did not find quad common ring eq_ana_gptr         
462.81077|FAPI|p9_hcode_image_build.C: did not find quad common ring eq_dpll_gptr        
462.81080|FAPI|p9_hcode_image_build.C: did not find quad common ring eq_dpll_mode        
462.81188|FAPI|p9_hcode_image_build.C: did not find quad common ring eq_ana_bndy_bucket_l3dcc
462.81193|FAPI|p9_hcode_image_build.C: did not find quad common ring eq_ana_mode          
462.81291|FAPI|p9_hcode_image_build.C: did not find quad common ring eq_ana_bndy_bucket_40
462.81299|FAPI|p9_hcode_image_build.C: did not find quad common ring eq_ana_bndy_bucket_41
462.81300|FAPI|p9_hcode_image_build.C: << layoutCmnRingsForSgpe
462.81312|FAPI|p9_hcode_image_build.C: >> layoutSgpeScanOverride 
462.81333|FAPI|p9_hcode_image_build.C: << layoutSgpeScanOverride
462.81344|FAPI|p9_hcode_image_build.C: >> layoutInstRingsForSgpe
462.81417|FAPI|p9_hcode_image_build.C: Skipping copy of cache chiplet2
462.81419|FAPI|p9_hcode_image_build.C: Skipping copy of cache chiplet3
462.81420|FAPI|p9_hcode_image_build.C: Skipping copy of cache chiplet4
462.81421|FAPI|p9_hcode_image_build.C: Skipping copy of cache chiplet5
462.81422|FAPI|p9_hcode_image_build.C: << layoutInstRingsForSgpe
462.81424|FAPI|p9_hcode_image_build.C: << layoutRingsForSGPE
462.90819|FAPI|p9_hcode_image_build.C: >> buildParameterBlock
462.90820|FAPI_I|p9_hcode_image_build.C: Size of sup-struct 0x00002c00
462.97177|FAPI_I|p9_pstate_parameter_block.C: > p9_pstate_parameter_block
463.00364|FAPI|p9_pstate_parameter_block.C: ATTR_PROC_DPLL_DIVIDER - 8
463.00516|FAPI|p9_pstate_parameter_block.C: ATTR_FREQ_BIAS_ULTRATURBO                                    = 0x00000000 0
463.00521|FAPI|p9_pstate_parameter_block.C: ATTR_FREQ_BIAS_TURBO                                         = 0x00000000 0
463.00525|FAPI|p9_pstate_parameter_block.C: ATTR_FREQ_BIAS_NOMINAL                                       = 0x00000000 0
463.00530|FAPI|p9_pstate_parameter_block.C: ATTR_FREQ_BIAS_POWERSAVE                                     = 0x00000000 0
463.00534|FAPI|p9_pstate_parameter_block.C: ATTR_VOLTAGE_EXT_VDD_BIAS_ULTRATURBO                         = 0x00000000 0
463.00539|FAPI|p9_pstate_parameter_block.C: ATTR_VOLTAGE_EXT_VDD_BIAS_TURBO                              = 0x00000000 0
463.00543|FAPI|p9_pstate_parameter_block.C: ATTR_VOLTAGE_EXT_VDD_BIAS_NOMINAL                            = 0x00000000 0
463.00547|FAPI|p9_pstate_parameter_block.C: ATTR_VOLTAGE_EXT_VDD_BIAS_POWERSAVE                          = 0x00000000 0
463.00551|FAPI|p9_pstate_parameter_block.C: ATTR_VOLTAGE_EXT_VCS_BIAS                                    = 0x00000000 0
463.00555|FAPI|p9_pstate_parameter_block.C: ATTR_VOLTAGE_EXT_VDN_BIAS                                    = 0x00000000 0
463.00559|FAPI|p9_pstate_parameter_block.C: ATTR_VOLTAGE_INT_VDD_BIAS_ULTRATURBO                         = 0x00000000 0
463.00563|FAPI|p9_pstate_parameter_block.C: ATTR_VOLTAGE_INT_VDD_BIAS_TURBO                              = 0x00000000 0
463.00568|FAPI|p9_pstate_parameter_block.C: ATTR_VOLTAGE_INT_VDD_BIAS_NOMINAL                            = 0x00000000 0
463.03926|FAPI|p9_pstate_parameter_block.C: ATTR_VOLTAGE_INT_VDD_BIAS_POWERSAVE                          = 0x00000000 0
463.03931|FAPI|p9_pstate_parameter_block.C: ATTR_FREQ_DPLL_REFCLOCK_KHZ                                  = 0x000208d5 133333
463.03935|FAPI|p9_pstate_parameter_block.C: ATTR_FREQ_PB_MHZ                                             = 0x0000074a 1866
463.03939|FAPI|p9_pstate_parameter_block.C: ATTR_FREQ_CORE_CEILING_MHZ                                   = 0x00000c80 3200
463.03943|FAPI|p9_pstate_parameter_block.C: ATTR_SAFE_MODE_FREQUENCY_MHZ                                 = 0x00000868 2152
463.03948|FAPI|p9_pstate_parameter_block.C: ATTR_SAFE_MODE_VOLTAGE_MV                                    = 0x0000029b 667
463.03952|FAPI|p9_pstate_parameter_block.C: ATTR_FREQ_CORE_FLOOR_MHZ                                     = 0x0000074b 1867
463.03956|FAPI|p9_pstate_parameter_block.C: ATTR_PROC_R_LOADLINE_VDD_UOHM                                = 0x000000fe 254
463.03960|FAPI|p9_pstate_parameter_block.C: ATTR_PROC_R_DISTLOSS_VDD_UOHM                                = 0x00000000 0
463.03964|FAPI|p9_pstate_parameter_block.C: ATTR_PROC_VRM_VOFFSET_VDD_UV                                 = 0x00000000 0
463.03968|FAPI|p9_pstate_parameter_block.C: ATTR_PROC_R_LOADLINE_VDN_UOHM                                = 0x00000000 0
463.03973|FAPI|p9_pstate_parameter_block.C: ATTR_PROC_R_DISTLOSS_VDN_UOHM                                = 0x00000032 50
463.03977|FAPI|p9_pstate_parameter_block.C: ATTR_PROC_VRM_VOFFSET_VDN_UV                                 = 0x00000000 0
463.03981|FAPI|p9_pstate_parameter_block.C: ATTR_PROC_R_LOADLINE_VCS_UOHM                                = 0x00000000 0
463.03985|FAPI|p9_pstate_parameter_block.C: ATTR_PROC_R_DISTLOSS_VCS_UOHM                                = 0x00000040 64
463.03989|FAPI|p9_pstate_parameter_block.C: ATTR_PROC_VRM_VOFFSET_VCS_UV                                 = 0x00000000 0
463.03993|FAPI|p9_pstate_parameter_block.C: ATTR_SYSTEM_IVRM_DISABLE                                     = 0x00000000 0
463.03997|FAPI|p9_pstate_parameter_block.C: ATTR_SYSTEM_WOF_DISABLE                                      = 0x00000000 0
463.04001|FAPI|p9_pstate_parameter_block.C: ATTR_SYSTEM_VDM_DISABLE                                      = 0x00000000 0
463.04005|FAPI|p9_pstate_parameter_block.C: ATTR_DPLL_VDM_RESPONSE                                       = 0x00000000 0
463.04009|FAPI|p9_pstate_parameter_block.C: ATTR_SYSTEM_RESCLK_DISABLE                                   = 0x00000000 0
463.05396|FAPI|p9_pstate_parameter_block.C: ATTR_SYSTEM_PSTATES_MODE                                     = 0x00000000 0
463.06509|FAPI|p9_pstate_parameter_block.C: ATTR_CHIP_EC_FEATURE_WOF_NOT_SUPPORTED                       = 0x00000000 0
463.06514|FAPI|p9_pstate_parameter_block.C: ATTR_CHIP_EC_FEATURE_VDM_NOT_SUPPORTED                       = 0x00000000 0
463.06518|FAPI|p9_pstate_parameter_block.C: ATTR_TDP_RDP_CURRENT_FACTOR                                  = 0x00000000 0
463.06522|FAPI|p9_pstate_parameter_block.C: ATTR_EXTERNAL_VRM_TRANSITION_START_NS                        = 0x00000000 0
463.06526|FAPI|p9_pstate_parameter_block.C: ATTR_EXTERNAL_VRM_TRANSITION_RATE_INC_UV_PER_US              = 0x00000000 0
463.06531|FAPI|p9_pstate_parameter_block.C: ATTR_EXTERNAL_VRM_TRANSITION_RATE_DEC_UV_PER_US              = 0x00000000 0
463.06535|FAPI|p9_pstate_parameter_block.C: ATTR_EXTERNAL_VRM_TRANSITION_STABILIZATION_TIME_NS           = 0x00000000 0
463.06539|FAPI|p9_pstate_parameter_block.C: ATTR_EXTERNAL_VRM_STEPSIZE                                   = 0x00000000 0
463.06543|FAPI|p9_pstate_parameter_block.C: ATTR_NEST_LEAKAGE_PERCENT                                    = 0x0000003c 60
463.06548|FAPI|p9_pstate_parameter_block.C: ATTR_VDD_AVSBUS_BUSNUM                                       = 0x00000000 0
463.06553|FAPI|p9_pstate_parameter_block.C: ATTR_VDD_AVSBUS_RAIL                                         = 0x00000000 0
463.06558|FAPI|p9_pstate_parameter_block.C: ATTR_VDN_AVSBUS_BUSNUM                                       = 0x00000001 1
463.06562|FAPI|p9_pstate_parameter_block.C: ATTR_VDN_AVSBUS_RAIL                                         = 0x00000000 0
463.06566|FAPI|p9_pstate_parameter_block.C: ATTR_VCS_AVSBUS_BUSNUM                                       = 0x00000000 0
463.06570|FAPI|p9_pstate_parameter_block.C: ATTR_VCS_AVSBUS_RAIL                                         = 0x00000001 1
463.06574|FAPI|p9_pstate_parameter_block.C: ATTR_VCS_BOOT_VOLTAGE                                        = 0x000003bd 957
463.06579|FAPI|p9_pstate_parameter_block.C: ATTR_VDD_BOOT_VOLTAGE                                        = 0x0000029b 667
463.06583|FAPI|p9_pstate_parameter_block.C: ATTR_VDN_BOOT_VOLTAGE                                        = 0x000002be 702
463.06588|FAPI|p9_pstate_parameter_block.C: ATTR_PROC_R_LOADLINE_VDD_UOHM                                = 0x000000fe 254
463.06592|FAPI|p9_pstate_parameter_block.C: ATTR_PROC_R_DISTLOSS_VDD_UOHM                                = 0x00000000 0
463.06743|FAPI|p9_pstate_parameter_block.C: ATTR_PROC_VRM_VOFFSET_VDD_UV                                 = 0x00000000 0
463.06748|FAPI|p9_pstate_parameter_block.C: ATTR_PROC_R_LOADLINE_VDN_UOHM                                = 0x00000000 0
463.06752|FAPI|p9_pstate_parameter_block.C: ATTR_PROC_R_DISTLOSS_VDN_UOHM                                = 0x00000032 50
463.06756|FAPI|p9_pstate_parameter_block.C: ATTR_PROC_VRM_VOFFSET_VDN_UV                                 = 0x00000000 0
463.06760|FAPI|p9_pstate_parameter_block.C: ATTR_PROC_R_LOADLINE_VCS_UOHM                                = 0x00000000 0
463.06764|FAPI|p9_pstate_parameter_block.C: ATTR_PROC_R_DISTLOSS_VCS_UOHM                                = 0x00000040 64
463.06768|FAPI|p9_pstate_parameter_block.C: ATTR_PROC_VRM_VOFFSET_VCS_UV                                 = 0x00000000 0
463.06773|FAPI|p9_pstate_parameter_block.C: ATTR_FREQ_DPLL_REFCLOCK_KHZ                                  = 0x000208d5 133333
463.06777|FAPI|p9_pstate_parameter_block.C: ATTR_PROC_DPLL_DIVIDER                                       = 0x00000008 8
463.06781|FAPI|p9_pstate_parameter_block.C: ATTR_SYSTEM_WOV_OVERV_DISABLE                                = 0x00000000 0
463.06786|FAPI|p9_pstate_parameter_block.C: ATTR_SYSTEM_WOV_UNDERV_DISABLE                               = 0x00000000 0
463.06790|FAPI|p9_pstate_parameter_block.C: ATTR_WOV_UNDERV_FORCE                                        = 0x00000000 0
463.06794|FAPI|p9_pstate_parameter_block.C: ATTR_WOV_SAMPLE_125US                                        = 0x00000000 0
463.06798|FAPI|p9_pstate_parameter_block.C: ATTR_WOV_MAX_DROOP_10THPCT                                   = 0x00000000 0
463.06802|FAPI|p9_pstate_parameter_block.C: ATTR_WOV_UNDERV_PERF_LOSS_THRESH_10THPCT                     = 0x00000000 0
463.06807|FAPI|p9_pstate_parameter_block.C: ATTR_WOV_UNDERV_STEP_INCR_10THPCT                            = 0x00000000 0
463.06811|FAPI|p9_pstate_parameter_block.C: ATTR_WOV_UNDERV_STEP_DECR_10THPCT                            = 0x00000000 0
463.06815|FAPI|p9_pstate_parameter_block.C: ATTR_WOV_UNDERV_MAX_10THPCT                                  = 0x00000000 0
463.08118|FAPI|p9_pstate_parameter_block.C: ATTR_WOV_UNDERV_VMIN_MV                                      = 0x00000000 0
463.08122|FAPI|p9_pstate_parameter_block.C: ATTR_WOV_OVERV_VMAX_SETPOINT_MV                              = 0x00000000 0
463.08126|FAPI|p9_pstate_parameter_block.C: ATTR_WOV_OVERV_STEP_INCR_10THPCT                             = 0x00000000 0
463.09026|FAPI|p9_pstate_parameter_block.C: ATTR_WOV_OVERV_STEP_DECR_10THPCT                             = 0x00000000 0
463.09030|FAPI|p9_pstate_parameter_block.C: ATTR_WOV_OVERV_MAX_10THPCT                                   = 0x00000000 0
463.09035|FAPI|p9_pstate_parameter_block.C: Setting attr_ext_vrm_transition_start_ns             = 0x00001f40 8000 (internal default)
463.09040|FAPI|p9_pstate_parameter_block.C: Setting attr_ext_vrm_transition_rate_inc_uv_per_us   = 0x00002710 10000 (internal default)
463.09044|FAPI|p9_pstate_parameter_block.C: Setting attr_ext_vrm_transition_rate_dec_uv_per_us   = 0x00002710 10000 (internal default)
463.09049|FAPI|p9_pstate_parameter_block.C: Setting attr_ext_vrm_stabilization_time_us           = 0x00000005 5 (internal default)
463.09053|FAPI|p9_pstate_parameter_block.C: Setting attr_ext_vrm_step_size_mv                    = 0x00000032 50 (internal default)
463.09058|FAPI|p9_pstate_parameter_block.C: Setting attr_wov_sample_125us                        = 0x00000002 2 (internal default)
463.09063|FAPI|p9_pstate_parameter_block.C: Setting attr_wov_max_droop_pct                       = 0x0000007d 125 (internal default)
463.09067|FAPI|p9_pstate_parameter_block.C: Setting attr_wov_overv_step_incr_pct                 = 0x00000005 5 (internal default)
463.09072|FAPI|p9_pstate_parameter_block.C: Setting attr_wov_overv_step_decr_pct                 = 0x00000005 5 (internal default)
463.09076|FAPI|p9_pstate_parameter_block.C: Setting attr_wov_overv_max_pct                       = 0x00000000 0 (internal default)
463.09081|FAPI|p9_pstate_parameter_block.C: Setting attr_wov_overv_vmax_mv                       = 0x0000047e 1150 (internal default)
463.09086|FAPI|p9_pstate_parameter_block.C: Setting attr_wov_underv_step_incr_pct                = 0x00000005 5 (internal default)
463.09090|FAPI|p9_pstate_parameter_block.C: Setting attr_wov_underv_step_decr_pct                = 0x00000005 5 (internal default)
463.09095|FAPI|p9_pstate_parameter_block.C: Setting attr_wov_underv_max_pct                      = 0x00000064 100 (internal default)
463.09099|FAPI|p9_pstate_parameter_block.C: Setting attr_wov_underv_perf_loss_thresh_pct         = 0x00000005 5 (internal default)
463.09251|FAPI|p9_pstate_parameter_block.C: fapi2::ATTR_PSTATES_ENABLED                                  = 0x00000000 0
463.09255|FAPI|p9_pstate_parameter_block.C: fapi2::ATTR_RESCLK_ENABLED                                   = 0x00000000 0
463.09259|FAPI|p9_pstate_parameter_block.C: fapi2::ATTR_VDM_ENABLED                                      = 0x00000000 0
463.09263|FAPI|p9_pstate_parameter_block.C: fapi2::ATTR_IVRM_ENABLED                                     = 0x00000000 0
463.09268|FAPI|p9_pstate_parameter_block.C: fapi2::ATTR_WOF_ENABLED                                      = 0x00000000 0
463.09272|FAPI|p9_pstate_parameter_block.C: fapi2::ATTR_WOV_UNDERV_ENABLED                               = 0x00000000 0
463.09422|FAPI|p9_pstate_parameter_block.C: fapi2::ATTR_WOV_OVERV_ENABLED                                = 0x00000000 0
463.09426|FAPI|p9_pstate_parameter_block.C: Populating magic number in Pstate Parameter block structure
463.09725|FAPI|p9_pstate_parameter_block.C: >>>>>>>>>> vpd_init
463.10883|FAPI|p9_pstate_parameter_block.C: Number of EQ chiplets present => 2
463.10885|FAPI|p9_pstate_parameter_block.C: Chip Number => 0
463.14007|FAPI|p9_pstate_parameter_block.C: #V chiplet = 0 bucket id = 2
463.14009|FAPI|p9_pstate_parameter_block.C: #V data = 0x0A8C  2700  
463.14969|FAPI|p9_pstate_parameter_block.C: #V data = 0x02D8  728   
463.14971|FAPI|p9_pstate_parameter_block.C: #V data = 0x019A  410   
463.14972|FAPI|p9_pstate_parameter_block.C: #V data = 0x03BD  957   
463.14973|FAPI|p9_pstate_parameter_block.C: #V data = 0x001E  30    
463.14975|FAPI|p9_pstate_parameter_block.C: #V data = 0x074B  1867  
463.14976|FAPI|p9_pstate_parameter_block.C: #V data = 0x0270  624   
463.14978|FAPI|p9_pstate_parameter_block.C: #V data = 0x0104  260   
463.14979|FAPI|p9_pstate_parameter_block.C: #V data = 0x03BD  957   
463.14980|FAPI|p9_pstate_parameter_block.C: #V data = 0x0014  20    
463.14982|FAPI|p9_pstate_parameter_block.C: #V data = 0x0C80  3200  
463.14983|FAPI|p9_pstate_parameter_block.C: #V data = 0x0330  816   
463.14985|FAPI|p9_pstate_parameter_block.C: #V data = 0x021C  540   
463.14986|FAPI|p9_pstate_parameter_block.C: #V data = 0x03BD  957   
