399.17627|ISTEP  8.12 - host_set_voltages
399.20923|FAPI|p9_setup_evid.C: Target voltage = 702; Present voltage = 750
399.20925|FAPI|p9_setup_evid.C: Moving voltage to 702; retry count = 0
399.20928|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006C737 4000000000000000
399.20931|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006C738 400015F700000000
399.20934|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 000000000006C736 0000000000000000
399.20937|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 000000000006C739 14FFFFFE00000000
399.20939|FAPI|p9_setup_evid.C: New delta = 0
399.20940|FAPI|p9_setup_evid.C: Setting voltage for VCS to 957 mV
399.20943|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006C717 4000000000000000
399.20944|FAPI|p9_avsbus_lib.C: Sending idle frame of all 1s
399.20948|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006C718 FFFFFFFFFFFFFFFF
399.20951|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 000000000006C716 0000000000000000
399.20954|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006C717 4000000000000000
399.20957|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006C718 700FFFFD00000000
399.20960|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 000000000006C716 0000000000000000
399.20963|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 000000000006C719 140407FB00000000
399.20965|FAPI|p9_avsbus_lib.C: Voltage value read is 1031 mV
399.20968|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 000000000006C719 140407FB00000000
399.20969|FAPI|p9_setup_evid.C: Decreasing voltage - delta = 74
399.20971|FAPI|p9_setup_evid.C: Target voltage = 981; Present voltage = 1031
399.20972|FAPI|p9_setup_evid.C: Moving voltage to 981; retry count = 0
399.20975|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006C717 4000000000000000
399.20979|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006C718 40081EA800000000
399.20982|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 000000000006C716 0000000000000000
399.20985|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 000000000006C719 14FFFFFE00000000
399.20986|FAPI|p9_setup_evid.C: New delta = 24
399.20988|FAPI|p9_setup_evid.C: Target voltage = 957; Present voltage = 981
399.20989|FAPI|p9_setup_evid.C: Moving voltage to 957; retry count = 0
399.20992|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006C717 4000000000000000
399.20996|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006C718 40081DEB00000000
399.20999|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 000000000006C716 0000000000000000
399.21002|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 000000000006C719 14FFFFFE00000000
399.21003|FAPI|p9_setup_evid.C: New delta = 0
399.21004|ISTEPS_TRACE|Done with p9_setup_evid
399.21006|ISTEPS_TRACE|<<call_host_set_voltages exit
400.29713|ERRL|I>Got an error log Msg - Type: 0x00000039
400.29715|ERRL|I>Flush message received
400.29717|INITSVC|<<doIstep: step 8, substep 12
400.29719|INITSVC|>>doIstep: step 9, substep 1, task fabric_erepair
