439.60572|ISTEP 13.10 - mss_draminit
439.72996|FAPI|mrs05.C: MR5 rank 0 decode: CAPL: 0x0, CRC_EC: 0x0, CA_PES: 0x0, ODT_IB: 0x0 RTT_PARK: 0x0, CAP: 0x0, DM: 0x0, WDBI: 0x0, RDBI: 0x0
439.73002|FAPI|mrs_load_ddr4.H: MRS05 (16) 0x000058f0cc000000:0x0010000000000000 dimm:k0:n0:s0:p02 RDIMM (DDR4):rank 0 a-side
439.73007|FAPI|mrs_load_ddr4.H: MRS05 (16) 0x1fd528f0cc000000:0x0010000000000000 dimm:k0:n0:s0:p02 RDIMM (DDR4):rank 0 b-side
439.73181|FAPI|mrs04.C: dimm:k0:n0:s0:p02 RDIMM (DDR4) MR4 attributes: MAX_PD: 0x0, TEMP_REFRESH_RANGE: 0x0, TEMP_REF_MODE: 0x0 VREF_MON: 0x0, CSL: 0x0, REF_ABORT: 0x0, RD_PTM: 0x0, RD_PRE: 0x0, WR_PRE: 0x0, PPR: 0x0, SOFT PPR: 0x0
439.73184|FAPI|mrs04.C: dimm:k0:n0:s0:p02 RDIMM (DDR4) MR4: 0x000018f0cc000000
439.73189|FAPI|mrs_load_ddr4.C: dimm:k0:n0:s0:p02 RDIMM (DDR4) Turning A17 off
439.73198|FAPI|mrs04.C: MR4 rank 0 decode: MAX_PD: 0x0, TEMP_REFRESH_RANGE: 0x0, TEMP_REF_MODE: 0x0 VREF_MON: 0x0, CSL: 0x0, REF_ABORT: 0x0, RD_PTM: 0x0, RD_PRE: 0x0, WR_PRE: 0x0, PPR: 0x0
439.73204|FAPI|mrs_load_ddr4.H: MRS04 (16) 0x000018f0cc000000:0x0010000000000000 dimm:k0:n0:s0:p02 RDIMM (DDR4):rank 0 a-side
439.73209|FAPI|mrs_load_ddr4.H: MRS04 (16) 0x1fd568f0cc000000:0x0010000000000000 dimm:k0:n0:s0:p02 RDIMM (DDR4):rank 0 b-side
439.73219|FAPI|mrs02.C: dimm:k0:n0:s0:p02 RDIMM (DDR4) MR2 rank 0 attributes: LPASR: 0x0, CWL: 0xe, RTT_WR: 0x4(0x4), WRITE_CRC: 0x0
439.73221|FAPI|mrs02.C: MR2: 0x041028f0cc000000
439.73226|FAPI|mrs_load_ddr4.C: dimm:k0:n0:s0:p02 RDIMM (DDR4) Turning A17 off
439.73229|FAPI|mrs02.C: MR2 rank 0 deocode: LPASR: 0x0, CWL: 0x4, RTT_WR: 0x4, WRITE_CRC: 0x0
439.73234|FAPI|mrs_load_ddr4.H: MRS02 (16) 0x041028f0cc000000:0x0010000000000000 dimm:k0:n0:s0:p02 RDIMM (DDR4):rank 0 a-side
439.73239|FAPI|mrs_load_ddr4.H: MRS02 (16) 0x1bc558f0cc000000:0x0010000000000000 dimm:k0:n0:s0:p02 RDIMM (DDR4):rank 0 b-side
439.73406|FAPI|mrs01.C: dimm:k0:n0:s0:p02 RDIMM (DDR4) MR1 rank 0 attributes: DLL_ENABLE: 0x1, ODIC: 0x22(0x0), AL: 0x0, WLE: 0x0, RTT_NOM:0x0, TDQS: 0x1, QOFF: 0x0
439.73408|FAPI|mrs01.C: dimm:k0:n0:s0:p02 RDIMM (DDR4) MR1: 0x801048f0cc000000
439.73414|FAPI|mrs_load_ddr4.C: dimm:k0:n0:s0:p02 RDIMM (DDR4) Turning A17 off
439.73419|FAPI|mrs01.C: MR1 rank 0 decode: DLL_ENABLE: 0x1, ODIC: 0x0, AL: 0x0, WLE: 0x0, RTT_NOM: 0x0, TDQS: 0x1, QOFF: 0x0
439.73424|FAPI|mrs_load_ddr4.H: MRS01 (16) 0x801048f0cc000000:0x0010000000000000 dimm:k0:n0:s0:p02 RDIMM (DDR4):rank 0 a-side
439.73429|FAPI|mrs_load_ddr4.H: MRS01 (16) 0x9fc538f0cc000000:0x0010000000000000 dimm:k0:n0:s0:p02 RDIMM (DDR4):rank 0 b-side
439.73441|FAPI|mrs00.C: dimm:k0:n0:s0:p02 RDIMM (DDR4) MR0 Attributes: BL: 0x0, RBT: 0x0, CL: 0x13, TM: 0x0, DLL_RESET: 0x1, WR: 0x14
439.73443|FAPI|mrs00.C: dimm:k0:n0:s0:p02 RDIMM (DDR4) MR0: 0x0ed008f0cc000000
439.73450|FAPI|mrs_load_ddr4.C: dimm:k0:n0:s0:p02 RDIMM (DDR4) Turning A17 off
439.73453|FAPI|mrs00.C: MR0 Decode BL: 0x0, RBT: 0x0, CL: 0xe, TM: 0x0, DLL_RESET: 0x1, WR: (0x14)0x5
439.73458|FAPI|mrs_load_ddr4.H: MRS00 (902) 0x0ed008f0cc000000:0x0386000000000000 dimm:k0:n0:s0:p02 RDIMM (DDR4):rank 0 a-side
439.73463|FAPI|mrs_load_ddr4.H: MRS00 (902) 0x110578f0cc000000:0x0386000000000000 dimm:k0:n0:s0:p02 RDIMM (DDR4):rank 0 b-side
439.73467|FAPI|ccs.H: loading ccs instructions (14) for pu.mcbist:k0:n0:s0:p00:c0
439.73475|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A5 0000000000000000
439.73480|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A5 4000000000000000
439.73484|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A6 4000000000000000
439.73486|FAPI|ccs.H: ccs statq (stop) 0x4000000000000000, remaining: 50
439.73490|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012315 004068F04C000000
439.73495|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012335 0010000000000001
439.73500|FAPI|ccs.H: css inst 0: 0x004068F04C000000 0x0010000000000001 (0x7012315, 0x7012335) delay: 0x10 (0x10) pu.mcbist:k0:n0:s0:p00:c0
439.73505|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012316 1F9518F04C000000
439.73509|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012336 0010000000000002
439.73515|FAPI|ccs.H: css inst 1: 0x1F9518F04C000000 0x0010000000000002 (0x7012316, 0x7012336) delay: 0x10 (0x20) pu.mcbist:k0:n0:s0:p00:c0
439.73519|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012317 B03038F04C000000
439.73523|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012337 0010000000000003
439.73529|FAPI|ccs.H: css inst 2: 0xB03038F04C000000 0x0010000000000003 (0x7012317, 0x7012337) delay: 0x10 (0x30) pu.mcbist:k0:n0:s0:p00:c0
439.73533|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012318 AFE548F04C000000
439.73538|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012338 0010000000000004
439.73543|FAPI|ccs.H: css inst 3: 0xAFE548F04C000000 0x0010000000000004 (0x7012318, 0x7012338) delay: 0x10 (0x40) pu.mcbist:k0:n0:s0:p00:c0
439.73548|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012319 000058F04C000000
439.73553|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012339 0010000000000005
439.73558|FAPI|ccs.H: css inst 4: 0x000058F04C000000 0x0010000000000005 (0x7012319, 0x7012339) delay: 0x10 (0x50) pu.mcbist:k0:n0:s0:p00:c0
439.73563|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 000000000701231A 1FD528F04C000000
439.73567|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 000000000701233A 0010000000000006
439.73572|FAPI|ccs.H: css inst 5: 0x1FD528F04C000000 0x0010000000000006 (0x701231a, 0x701233a) delay: 0x10 (0x60) pu.mcbist:k0:n0:s0:p00:c0
439.73577|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 000000000701231B 000018F04C000000
439.73581|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 000000000701233B 0010000000000007
439.73587|FAPI|ccs.H: css inst 6: 0x000018F04C000000 0x0010000000000007 (0x701231b, 0x701233b) delay: 0x10 (0x70) pu.mcbist:k0:n0:s0:p00:c0
439.73592|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 000000000701231C 1FD568F04C000000
439.73596|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 000000000701233C 0010000000000008
439.73601|FAPI|ccs.H: css inst 7: 0x1FD568F04C000000 0x0010000000000008 (0x701231c, 0x701233c) delay: 0x10 (0x80) pu.mcbist:k0:n0:s0:p00:c0
439.73606|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 000000000701231D 041028F04C000000
439.73610|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 000000000701233D 0010000000000009
439.73616|FAPI|ccs.H: css inst 8: 0x041028F04C000000 0x0010000000000009 (0x701231d, 0x701233d) delay: 0x10 (0x90) pu.mcbist:k0:n0:s0:p00:c0
439.73621|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 000000000701231E 1BC558F04C000000
439.73625|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 000000000701233E 001000000000000A
439.73631|FAPI|ccs.H: css inst 9: 0x1BC558F04C000000 0x001000000000000A (0x701231e, 0x701233e) delay: 0x10 (0xa0) pu.mcbist:k0:n0:s0:p00:c0
439.73635|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 000000000701231F 801048F04C000000
439.73640|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 000000000701233F 001000000000000B
439.73645|FAPI|ccs.H: css inst 10: 0x801048F04C000000 0x001000000000000B (0x701231f, 0x701233f) delay: 0x10 (0xb0) pu.mcbist:k0:n0:s0:p00:c0
439.73650|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012320 9FC538F04C000000
439.73654|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012340 001000000000000C
439.73660|FAPI|ccs.H: css inst 11: 0x9FC538F04C000000 0x001000000000000C (0x7012320, 0x7012340) delay: 0x10 (0xc0) pu.mcbist:k0:n0:s0:p00:c0
439.73664|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012321 0ED008F04C000000
439.73669|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012341 038600000000000D
439.73675|FAPI|ccs.H: css inst 12: 0x0ED008F04C000000 0x038600000000000D (0x7012321, 0x7012341) delay: 0x386 (0x446) pu.mcbist:k0:n0:s0:p00:c0
439.73679|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012322 110578F04C000000
439.73683|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012342 038600000000000E
439.73689|FAPI|ccs.H: css inst 13: 0x110578F04C000000 0x038600000000000E (0x7012322, 0x7012342) delay: 0x386 (0x7cc) pu.mcbist:k0:n0:s0:p00:c0
439.73691|FAPI|conversions.H: converting 1996 cycles to 1497000ps
439.73694|FAPI|ccs.H: executing ccs instructions (14:14, 1497) for pu.mcbist:k0:n0:s0:p00:c0
439.73698|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012323 000008F0CC000000
439.73702|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012343 0000000000000020
439.73707|FAPI|ccs.H: css inst 14 fixup: 0x000008F0CC000000 0x0000000000000020 (0x7012323, 0x7012343) pu.mcbist:k0:n0:s0:p00:c0
439.73709|FAPI|ccs.H: executing CCS array for port 1 (pu.mca:k0:n0:s0:p00:c1)
439.73713|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123DB 1000000000000000
439.73718|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123DB 1000000000000000
439.73722|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A5 0000000000000000
439.73726|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A5 8000000000000000
439.73731|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A6 4000000000000000
439.73733|FAPI|ccs.H: pu.mca:k0:n0:s0:p00:c1 CCS Executed Successfully.
439.73735|FAPI|p9_mss_draminit.C: End draminit: pu.mcbist:k0:n0:s0:p00:c0 (0x0)
439.73738|ISTEPS_TRACE|SUCCESS running p9_mss_draminit HWP on target HUID 00250000
439.73739|ISTEPS_TRACE|call_mss_draminit exit
440.38783|SCOM|doMulticastWorkaround on 00050000 for 50040018
440.38834|SCOM|doMulticastWorkaround on 00050000 for 50040009
440.38896|ERRL|I>Got an error log Msg - Type: 0x00000039
440.38897|ERRL|I>Flush message received
440.38899|INITSVC|<<doIstep: step 13, substep 10
440.38901|INITSVC|>>doIstep: step 13, substep 11, task mss_draminit_training
